Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
RJF,"Raymond James Financial",86.06,2.15,+2.56%,87.77,82.24,1121300,10/24/19
RLGY,"Realogy Holdings Corp",8.62,-0.06,-0.69%,8.68,8.75,4394,"09:40 ET"
RLH,"Red Lion Hotels Corp",6.59,0.11,+1.70%,6.59,6.36,64600,10/23/19
RLI,"Rli Corp",95.91,-0.75,-0.78%,97.25,95.69,104300,10/23/19
RLJ,"Rlj Lodging Trust",16.92,0.040000000000003,+0.24%,16.92,16.78,889800,10/24/19
RM,"Regional Managment Corp",30,0.17,+0.57%,30,29.74,68000,10/23/19
RMAX,"Re/Max Holdings Inc",33.92,-0.009999999999998,-0.03%,33.92,32.76,83100,10/24/19
RNR,"Renaissancere Holdings Ltd",186.56,0.0099999999999909,+0.01%,186.56,185.56,168700,10/23/19
RNST,"Renasant Corp",33.94,-0.2,-0.59%,33.94,33.46,367900,10/23/19
ROIC,"Retail Opp Invts Cp",18.87,-0.11,-0.58%,18.92,18.8,1191200,10/24/19
ROL,"Rollins Inc",38.27,-0.26,-0.67%,38.59,37.25,3814900,10/24/19
RPAI,"Retail Properties of America",13.32,-0.08,-0.60%,13.37,13.31,3325100,10/24/19
RPT,"Ramco-Gershenson Properties Trust",14.13,-0.049999999999999,-0.35%,14.12,13.99,671800,10/24/19
RRR,"Red Rock Resorts Inc",21.39,0.07,+0.33%,21.39,21,721200,10/24/19
RVSB,"Riverview Bancorp",7.14,-0.12,-1.65%,7.23,7.1,29300,10/23/19
RWT,"Redwood Trust",16.83,-0.1,-0.59%,16.91,16.85,644800,10/24/19
RY,"Royal Bank of Canada",81.24,-0.12,-0.15%,81.47,81,3711,"09:40 ET"
RYN,"Rayonier Inc REIT",29.44,0.24,+0.82%,29.45,29.05,328800,10/23/19
SAFE,"Safehold Inc",34.11,0.03,+0.09%,34.29,33.7,144700,10/23/19
SAFT,"Safety Ins Group Inc",100.93,1.15,+1.15%,101.03,99.73,42000,10/23/19
SAN,"Banco Santander",4.41,0.0099999999999998,+0.23%,4.43,4.43,4108,"09:39 ET"
SASR,"Sandy Spring Bancorp",34.36,-0.11,-0.32%,34.36,34.22,104500,10/23/19
SBAC,"SBA Communications",246.95,-1.03,-0.42%,246.51,244.43,762900,10/24/19
SBCF,"Seacoast Banking Cp",26.11,-0.039999999999999,-0.15%,26.54,26.01,266300,10/24/19
SBNY,"Signature Bank",122.95,-0.76,-0.61%,123.85,121.38,337000,10/23/19
SBRA,"Sabra REIT",23.83,-0.11,-0.46%,23.94,23.61,1315600,10/24/19
SBSI,"Southside Bancshares",35.18,0,0.00%,35.26,34.97,29100,10/23/19
SC,"Santander Consumer USA Holdings",25.45,0.009999999999998,+0.04%,25.51,25.25,521900,10/24/19
SCHW,"The Charles Schwab Corp",41.38,0.010000000000005,+0.02%,41.48,40.65,6002200,10/24/19
SCM,"Stellus Capital Investment Cor",13.84,0.03,+0.22%,13.87,13.73,72800,10/23/19
SCU,"Sculptor Capital Management Inc.",16.65,0.77,+4.85%,16.97,15.94,72700,10/23/19
SE,"Sea Ltd ADR",27.79,0.53,+1.94%,27.8,27.7,203,"09:40 ET"
SEIC,"Sei Investments Company",59,1.71,+2.98%,59.02,56.98,985300,10/24/19
SERV,"Servicemaster Global Holdings",44.59,-0.059999999999995,-0.13%,44.87,44.19,3192200,10/24/19
SF,"Stifel Financial Corp",55.84,0.020000000000003,+0.04%,56.22,55.32,156900,10/24/19
SFBS,"Servisfirst Bancs",35.01,-0.2,-0.57%,35.03,34.85,100300,10/24/19
SFE,"Safeguard Scientifics",11.14,0.02,+0.18%,11.17,11,40000,10/23/19
SFNC,"Simmons First Natl",24.13,-0.2,-0.82%,24.25,23.89,839800,10/24/19
SHO,"Sunstone Hotel Investors",13.92,0.02,+0.14%,13.94,13.79,1153000,10/24/19
SIEB,"Siebert Fin Cp",8.99,0.06,+0.67%,9.13,8.93,1200,10/23/19
SIGI,"Selective Ins Group",72.65,0.070000000000007,+0.10%,73.04,72.14,174300,10/24/19
SITC,"Site Centers Corp",15.46,-0.0099999999999998,-0.06%,15.51,15.38,2284000,10/24/19
SIVB,"Svb Financial Group",209.29,-0.84,-0.40%,211.58,208.93,338800,10/24/19
SKT,"Tanger Factory Outlet Centers",17.52,-0.19,-1.07%,17.71,17.54,2616200,10/24/19
SLF,"Sun Life Financial Inc",44.97,-0.020000000000003,-0.04%,45.14,44.84,1981000,10/24/19
SLG,"SL Green Realty Corp",84.26,0.15000000000001,+0.18%,84.46,81.99,783800,10/24/19
SLM,"SLM Corp",8.74,-0.31,-3.43%,9.25,9.01,4023700,10/24/19
SLRC,"Solar Capital",20.62,0.01,+0.05%,20.65,20.49,74700,10/23/19
SMFG,"Sumitomo Mitsui Financial Group Inc",7.07,0.06,+0.86%,7.07,6.96,1083100,10/24/19
SMTA,"Spirit Mta REIT",0.66,-7.92,-92.31%,0.66,8.54,2468800,10/23/19
SNH,"Senior Housing Properties Trust",10.1,-0.1,-0.98%,10.17,9.72,1774000,10/24/19
SNR,"New Senior Investment Group Inc",7.24,-0.029999999999999,-0.41%,7.25,7,438000,10/24/19
SNV,"Synovus Financial Corp",34.49,-0.019999999999996,-0.06%,34.49,33.52,1812700,10/24/19
SPG,"Simon Property Group",153.12,-1.57,-1.01%,154.89,154.03,1229400,10/24/19
SRC,"Spirit Realty Capital Inc",48.88,-0.049999999999997,-0.10%,48.81,48.64,689000,10/24/19
SRCE,"1st Source Corp",51.06,0.55,+1.09%,51.07,50.37,48400,10/23/19
SRG,"Seritage Growth Properties",43.94,-0.43,-0.97%,44.56,43.75,168900,10/23/19
SSB,"South State Cp",77.46,-0.47000000000001,-0.60%,77.46,77.26,120700,10/23/19
SSSS,"Sutter Rock Capital Corp",6.53,0.010000000000001,+0.15%,6.53,6.46,161400,10/23/19
STAG,"STI Inc",30.79,-0.030000000000001,-0.10%,30.91,30.91,265,"09:35 ET"
STAR,"Istar Financial Inc",12.94,0.06,+0.47%,12.99,12.83,258200,10/23/19
STAY,"Extended Stay America Inc",14.36,0.2,+1.41%,14.38,14.09,1394700,10/24/19
STBA,"S&T Bancorp Inc",36.76,-0.090000000000003,-0.24%,37.38,36.8,91400,10/24/19
STC,"Stewart Information Services Corp",40.36,0.15,+0.37%,40,39.57,506000,10/24/19
STFC,"State Auto Finl Corp",34.67,0.23,+0.67%,34.68,34.14,51000,10/23/19
STI,"Suntrust Banks",68.79,-0.23999999999999,-0.35%,69.25,68.51,1861900,10/24/19
STL,"Sterling Bancorp",19.13,-1.01,-5.01%,19.86,20.07,1288700,10/24/19
STOR,"Store Capital Corpstore Capital",38.72,-0.15,-0.39%,38.8,38.42,1523600,10/24/19
STT,"State Street Corp",65.65,-0.27,-0.41%,66.2,66.94,991,"09:40 ET"
STWD,"Starwood Property Trust",24.52,-0.059999999999999,-0.24%,24.64,24.51,1114200,10/24/19
SUI,"Sun Communities",152.72,-0.90000000000001,-0.59%,156.85,154.92,494700,10/24/19
SUNS,"Solar Senior Capital",17.46,0.11,+0.63%,17.49,17.33,19500,10/23/19
SUPV,"Grupo Supervielle S.A.",2.83,0.01,+0.35%,2.85,2.82,170,"09:39 ET"
SVC,"Service Properties Trust",26.2,0.16,+0.61%,26.24,25.97,583700,10/24/19
SVVC,"Firsthand Technology",7.08,0.06,+0.85%,7.14,6.98,8200,10/23/19
SYF,"Synchrony Financial",34.99,-0.1,-0.28%,35.16,34.67,5269400,10/24/19
TBBK,"The Bancorp Inc",10.27,0.03,+0.29%,10.29,10.18,58600,10/23/19
TBK,"Triumph Bancorp",32.78,-0.77,-2.30%,33.53,32.38,133400,10/23/19
TBNK,"Territorial Bancorp",29.08,0.11,+0.38%,29.08,28.76,2700,10/23/19
TCBI,"Texas Capital Bncsh",56.12,0.079999999999998,+0.14%,56.12,55,592000,10/24/19
TCBK,"Trico Bancshares",36.99,0.17,+0.46%,37.06,36.53,34100,10/23/19
TCF,"TCF Financial Corp",37.72,-0.11,-0.29%,37.81,37.62,475300,10/24/19
TCO,"Taubman Centers",38.33,-0.35,-0.90%,38.36,38.33,425400,10/24/19
TCPC,"TCP Capital Corp",13.7,0.12,+0.88%,13.72,13.49,308300,10/23/19
TCRD,"THL Credit Inc",6.93,-0.02,-0.29%,6.93,6.86,58200,10/23/19
TD,"Toronto Dominion Bank",57.21,0.16,+0.28%,57.26,56.9,108,"09:40 ET"
TFSL,"Tfs Financial Corp",18.96,0.04,+0.21%,18.99,18.75,466500,10/23/19
THFF,"First Finl Corp [In]",43.65,0.29,+0.67%,43.82,43.18,25700,10/23/19
THG,"The Hanover Insurance Group",133.15,0.11000000000001,+0.08%,133.15,132.46,209100,10/24/19
TMP,Tompkinstrustco,85.59,-0.079999999999998,-0.09%,85.59,84.08,49900,10/24/19
TOWN,"Towne Bank",28.52,0.32,+1.13%,28.52,28.03,150100,10/23/19
TPRE,"Third Point Reinsurance Ltd Company",9.64,-0.18,-1.83%,9.87,9.62,289800,10/23/19
TPVG,"Triplepoint Venture Growth Bdc",16.45,-0.03,-0.18%,16.57,16.38,71700,10/23/19
TRC,"Tejon Ranch Company",16.59,0.08,+0.48%,16.66,16.43,72300,10/23/19
TREE,"Lendingtree Inc",317.45,0.43000000000001,+0.14%,317.45,312.96,51400,10/23/19
TRMK,"Trustmark Corp",34.05,-0.25,-0.73%,34.15,33.85,249200,10/24/19
TRNO,"Terreno Realty Corp",53.35,0.009999999999998,+0.02%,53.48,52.73,305400,10/24/19
TROW,"T Rowe Price Group",110,1.62,+1.49%,110.49,108,1989100,10/24/19
TRST,"Trustco Bank Corp NY",8.51,-0.050000000000001,-0.58%,8.51,8.52,323700,10/24/19
TRTX,"Tpg Re Finance Trust Inc",19.95,0.009999999999998,+0.05%,19.95,19.86,238100,10/23/19
TRUP,"Trupanion Inc",22.14,-0.43,-1.91%,22.61,22,148500,10/23/19
TRV,"The Travelers Companies Inc",131.53,-0.63,-0.48%,132.58,129.69,1947700,10/24/19
TRWH,"Twin River Worldwide Holdings Inc",24.46,0.010000000000002,+0.04%,24.46,23.92,182700,10/23/19
TSLX,"Tpg Specialty Lending Inc",21.18,0.28,+1.34%,21.2,20.8,230300,10/23/19
TURN,"180 Degree Capital Corp",2.06,-0.01,-0.48%,2.1,2.05,40900,10/23/19
TW,"Tradeweb Markets Inc",40.43,-1.5,-3.58%,42.3,39.99,2218100,10/23/19
TWO,"Two Harbors Investments Corp",13.77,-0.11,-0.79%,13.87,13.73,1665500,10/24/19
UBA,"Urstadt Biddle Properties Inc",24.25,0.01,+0.04%,24.76,24.08,51700,10/23/19
UBNK,"United Fin Bncp",14.64,-0.02,-0.14%,14.67,14.42,496800,10/24/19
UBS,"UBS Group Ag",11.82,0.18,+1.55%,11.85,11.81,6251,"09:40 ET"
UBSI,"United Bkshs Inc",39.67,0.039999999999999,+0.10%,39.73,39.29,442400,10/24/19
UCBI,"United Comm Banks",30.36,-0.050000000000001,-0.16%,30.39,29.53,407100,10/24/19
UCFC,"United Community Fnl",11.66,0.39,+3.46%,11.94,11.45,173600,10/23/19
UDR,"United Dominion Realty Trust",49.25,-0.26,-0.53%,49.68,49.09,1519400,10/24/19
UE,"Urban Edge Properties",21.05,-0.09,-0.43%,21.02,20.83,1162800,10/24/19
UEPS,"Net 1 Ueps Techs Inc",3.01,0.04,+1.35%,3.03,2.93,70200,10/23/19
UFCS,"United Fire Group",46.1,0.01,+0.02%,46.38,45.88,44600,10/23/19
UHT,"Universal Health Realty Income Trust",110.32,1.35,+1.24%,111.05,108.58,40200,10/23/19
UIHC,"United Insurance Hld",12.86,-0.06,-0.46%,12.86,12.46,72500,10/24/19
UMBF,"Ump Financial Corp",66.14,0.12,+0.18%,66.2,65.34,134800,10/23/19
UMH,"Umh Properties",14.86,-0.23,-1.52%,15.07,14.76,103300,10/23/19
UMPQ,"Umpqua Holdings Corp",16.11,-0.1,-0.62%,16.13,16.14,828200,10/24/19
UNIT,"Uniti Group Inc",7.78,0.03,+0.39%,7.78,7.65,1728500,10/24/19
UNM,"Unumprovident Corp",29.09,-0.18,-0.61%,29.47,28.65,1106100,10/24/19
USB,"U.S. Bancorp",56.58,-0.07,-0.12%,56.72,56.33,4713900,10/24/19
UVE,"Universal Insurance Holdings Inc",28.86,-0.050000000000001,-0.17%,28.93,28.58,63100,10/24/19
UVSP,"Univest Corp of Penn",26,0.68,+2.69%,26,25.01,59100,10/24/19
VAC,"Marriot Vacations Worldwide Cor",109.4,0.87,+0.80%,109.4,108.04,258700,10/23/19
VBTX,"Veritex Holdings",25.02,0.11,+0.44%,25.02,24.48,234900,10/24/19
VER,"Vereit Inc",9.84,0.029999999999999,+0.31%,9.87,9.78,17275500,10/24/19
VICI,"Vici Properties Inc",23.6,-0.049999999999997,-0.21%,23.63,23.47,6001700,10/24/19
VIRT,"Virtu Financial Cm A",16.96,-0.079999999999998,-0.47%,16.95,16.78,601600,10/24/19
VLY,"Valley National Bancorp",11.55,-0.039999999999999,-0.35%,11.61,11.53,1146500,10/24/19
VNO,"Vornado Realty Trust",64.67,-0.039999999999992,-0.06%,64.67,63.24,800900,10/24/19
VOYA,"VOYA Financial Inc",54.87,0.32,+0.59%,54.87,53.69,616600,10/24/19
VTR,"Ventas Inc",72.76,-0.42,-0.57%,73.24,71.91,1654400,10/24/19
WABC,"Westamerica Bancorp",65.99,-0.25,-0.38%,65.99,65.43,94500,10/23/19
WAFD,"Washington Federal",36.56,0.039999999999999,+0.11%,36.56,36.2,368900,10/23/19
WAL,"Western Alliance Bancorp",48.81,-0.19,-0.39%,48.81,48.05,680400,10/24/19
WASH,"Washington TR Bncorp",51.17,0.32,+0.63%,51.4,50.5,35000,10/23/19
WBS,"Webster Financial Corp",44.51,0.1,+0.23%,44.69,43.39,1976000,10/24/19
WD,"Walker & Dunlop",61.46,0.060000000000002,+0.10%,61.46,60.38,160200,10/23/19
WDR,"Waddell & Reed Financial",15.95,0.059999999999999,+0.38%,15.98,15.25,1417900,10/24/19
WELL,"Welltower Inc",90.5,-0.62,-0.68%,91.45,90.58,3022900,10/24/19
WETF,"Wisdomtree Invstmnts",5.03,0.04,+0.80%,5.07,4.88,514600,10/24/19
WFC,"Wells Fargo & Company",51.04,0.11,+0.22%,51.09,50.96,1593,"09:40 ET"
WH,"Wyndham Hotels & Resorts Inc",51.84,1.23,+2.43%,51.61,51.5,150,"09:40 ET"
WHG,"Westwood Holdings Group Inc",28.83,0.11,+0.38%,29.03,28.63,22400,10/24/19
WLTW,"Willis Towers Wts",184.93,0.16,+0.09%,185.37,184.44,550100,10/24/19
WMC,"Western Asset Mortgage Capital",9.92,-0.040000000000001,-0.40%,9.92,9.94,337900,10/24/19
WNEB,"Western New England Bancorp Inc",9.54,0.04,+0.42%,9.54,9.2,16800,10/23/19
WPC,"W.P. Carey & Co. Llc",92.7,0.16,+0.17%,92.83,92.08,600500,10/24/19
WPG,"Washington Prime Group Inc",4.65,0.2,+4.49%,4.68,4.55,9783,"09:40 ET"
WRB,"W.R. Berkley Corp",72.02,0.14999999999999,+0.21%,72.18,70.73,1307000,10/24/19
WRE,"Washington Real Estate Investment",29.33,0.12,+0.41%,29.33,29.05,259500,10/23/19
WRI,"Weingarten Realty Investors",29.38,-0.060000000000002,-0.20%,29.5,29.27,1213700,10/24/19
WRLD,"World Acceptance Cp",123.48,0.99,+0.81%,124.8,119.58,75800,10/23/19
WSBC,"Wesbanco Inc",36.99,-2.23,-5.69%,38.28,38.79,124600,10/24/19
WSBF,"Waterstone Financial",17.68,0.3,+1.73%,17.68,17.3,31900,10/24/19
WSFS,"WSFS Financial Corp",43.98,-1.38,-3.04%,45.2,42.61,262000,10/23/19
WSR,"Whitestone REIT",14.07,0.09,+0.64%,14.07,13.9,149000,10/23/19
WTBA,"West Bancorp",22.77,0.19,+0.84%,22.8,22.57,10900,10/23/19
WTFC,"Wintrust Finl Corp",65.1,-0.40000000000001,-0.61%,65.2,62.87,201800,10/24/19
WY,"Weyerhaeuser Company",29.36,-0.15,-0.51%,29.49,29.03,3062600,10/24/19
WYND,"Wyndham Destinations Inc",45.93,0.07,+0.15%,46.07,45.35,868400,10/24/19
WYNN,"Wynn Resorts Ltd",118.04,2.18,+1.88%,119.15,116,1147,"09:40 ET"
XAN,"Exantas Capital Corp",11.59,0.02,+0.17%,11.59,11.49,111500,10/23/19
XHR,"Xenia Hotels & Resorts Inc",20.94,-0.059999999999999,-0.29%,20.94,20.77,605200,10/24/19
XIN,"Xinyuan Real Estate Co. Ltd",4.04,-0.04,-1.00%,4.12,4.02,81900,10/23/19
Y,"Alleghany Corp",766.66,4.73,+0.62%,767.1,757.52,32800,10/23/19
YRD,"Yirendai Ltd",6.76,-0.07,-1.02%,6.88,6.72,79000,10/23/19
Z,"Zillow Group Cl C",33.21,-0.07,-0.21%,33.46,32.62,2435200,10/24/19
ZION,"Zions Bancorp",47.92,-0.019999999999996,-0.04%,48.02,47.28,1992400,10/24/19
